NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	149	0.69997567	2.4814603	0.0	0.0	0.0	2536	tags=56%, list=16%, signal=67%	
KERATINIZATION%REACTOME%R-HSA-6805567.5	KERATINIZATION%REACTOME%R-HSA-6805567.5	Details ...	47	0.81419736	2.3863254	0.0	0.0	0.0	178	tags=28%, list=1%, signal=28%	
SKIN DEVELOPMENT%GOBP%GO:0043588	SKIN DEVELOPMENT%GOBP%GO:0043588	Details ...	87	0.7098363	2.2591138	0.0	0.0	0.0	1285	tags=39%, list=8%, signal=42%	
KERATINOCYTE DIFFERENTIATION%GOBP%GO:0030216	KERATINOCYTE DIFFERENTIATION%GOBP%GO:0030216	Details ...	41	0.79245126	2.209417	0.0	0.0	0.0	1213	tags=37%, list=8%, signal=40%	
TGF-BETA RECEPTOR SIGNALING ACTIVATES SMADS%REACTOME%R-HSA-2173789.6	TGF-BETA RECEPTOR SIGNALING ACTIVATES SMADS%REACTOME%R-HSA-2173789.6	Details ...	45	0.72985697	2.2009397	0.0	0.0	0.0	1133	tags=33%, list=7%, signal=36%	
EPIDERMIS DEVELOPMENT%GOBP%GO:0008544	EPIDERMIS DEVELOPMENT%GOBP%GO:0008544	Details ...	117	0.63970745	2.1526985	0.0	0.0	0.0	1352	tags=34%, list=9%, signal=37%	
INTERMEDIATE FILAMENT ORGANIZATION%GOBP%GO:0045109	INTERMEDIATE FILAMENT ORGANIZATION%GOBP%GO:0045109	Details ...	30	0.8178846	2.1460428	0.0	0.0	0.0	151	tags=33%, list=1%, signal=34%	
INTERMEDIATE FILAMENT CYTOSKELETON ORGANIZATION%GOBP%GO:0045104	INTERMEDIATE FILAMENT CYTOSKELETON ORGANIZATION%GOBP%GO:0045104	Details ...	43	0.7339593	2.1383724	0.0	1.8306484E-4	0.001	229	tags=28%, list=1%, signal=28%	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details ...	157	0.60171753	2.1163118	0.0	3.2439368E-4	0.002	3173	tags=47%, list=20%, signal=59%	
INTERMEDIATE FILAMENT-BASED PROCESS%GOBP%GO:0045103	INTERMEDIATE FILAMENT-BASED PROCESS%GOBP%GO:0045103	Details ...	44	0.7303432	2.1138995	0.0	2.9195432E-4	0.002	229	tags=27%, list=1%, signal=28%	
INTEGRIN FAMILY CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRIN FAMILY CELL SURFACE INTERACTIONS	INTEGRIN FAMILY CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRIN FAMILY CELL SURFACE INTERACTIONS	Details ...	24	0.82166153	2.1011949	0.0	2.6541302E-4	0.002	712	tags=38%, list=5%, signal=39%	
PEPTIDE CROSS-LINKING%GOBP%GO:0018149	PEPTIDE CROSS-LINKING%GOBP%GO:0018149	Details ...	15	0.8839311	2.0362012	0.0	0.003561268	0.03	1213	tags=47%, list=8%, signal=51%	
CELL CYCLE%WIKIPATHWAYS_20240510%WP179%HOMO SAPIENS	CELL CYCLE%WIKIPATHWAYS_20240510%WP179%HOMO SAPIENS	Details ...	86	0.6405083	2.0319428	0.0	0.003946532	0.036	3175	tags=48%, list=20%, signal=60%	
